                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.92369,                0.61899,                 1.1985,                0.90326,                0.88838,                0.92646,                0.66844,                0.96592,                0.50288,                 1.2348,               0.006535,               0.006535,               0.006535
                     37,                0.91997,                0.60892,                 1.1945,                0.89605,                0.88912,                0.92319,                0.67132,                0.95818,                0.50611,                 1.2402,               0.006436,               0.006436,               0.006436
                     38,                0.90695,                0.60219,                 1.1816,                0.89043,                0.89086,                0.92511,                0.67303,                0.95237,                0.49835,                 1.2217,               0.006337,               0.006337,               0.006337
                     39,                0.90059,                0.59589,                 1.1762,                0.89798,                  0.886,                 0.9231,                0.67094,                0.96228,                0.49523,                 1.2312,               0.006238,               0.006238,               0.006238
                     40,                0.88485,                0.57934,                  1.173,                0.90363,                0.89115,                0.92581,                0.67232,                0.96061,                0.49554,                 1.2406,               0.006139,               0.006139,               0.006139
                     41,                0.88799,                0.58698,                 1.1702,                0.90666,                0.88852,                0.92762,                0.67589,                0.95834,                0.49006,                 1.2344,                0.00604,                0.00604,                0.00604
                     42,                 0.8768,                0.58137,                 1.1613,                0.90504,                 0.8947,                0.92672,                0.67741,                0.95454,                0.47983,                 1.2295,               0.005941,               0.005941,               0.005941
                     43,                0.87337,                 0.5714,                 1.1566,                0.90542,                  0.893,                0.92566,                0.67517,                0.95472,                0.47623,                 1.2264,               0.005842,               0.005842,               0.005842
                     44,                 0.8597,                0.56435,                 1.1462,                0.90536,                0.89161,                0.92654,                 0.6755,                0.95441,                0.48145,                 1.2305,               0.005743,               0.005743,               0.005743
                     45,                0.85196,                0.55789,                 1.1455,                0.90661,                0.88725,                0.92203,                0.67392,                0.95394,                0.48161,                 1.2358,               0.005644,               0.005644,               0.005644
                     46,                0.85158,                0.55624,                 1.1463,                0.90278,                0.89516,                0.92538,                  0.679,                0.95242,                0.47861,                 1.2324,               0.005545,               0.005545,               0.005545
                     47,                0.85018,                0.55084,                 1.1429,                 0.9019,                  0.896,                0.92605,                0.67886,                0.95287,                0.47654,                 1.2352,               0.005446,               0.005446,               0.005446
                     48,                0.83741,                0.54631,                 1.1359,                0.90649,                0.88907,                0.92436,                0.67986,                0.95034,                0.47046,                 1.2352,               0.005347,               0.005347,               0.005347
                     49,                0.82967,                0.53817,                  1.134,                0.90604,                0.89196,                0.92527,                0.67913,                0.95013,                0.47137,                  1.236,               0.005248,               0.005248,               0.005248
                     50,                0.82287,                0.53287,                 1.1254,                0.90199,                0.89389,                0.92656,                0.68029,                 0.9469,                0.46952,                 1.2341,               0.005149,               0.005149,               0.005149
                     51,                0.81758,                0.52508,                 1.1147,                0.89906,                0.89509,                 0.9261,                0.68125,                0.94525,                  0.468,                 1.2298,                0.00505,                0.00505,                0.00505
                     52,                0.81039,                0.51689,                 1.1173,                0.90211,                0.89209,                0.92526,                0.68212,                0.94317,                0.46911,                 1.2295,               0.004951,               0.004951,               0.004951
                     53,                0.79946,                0.51719,                 1.1138,                0.90449,                0.89164,                0.92492,                0.68399,                0.94272,                0.46696,                 1.2321,               0.004852,               0.004852,               0.004852
                     54,                0.80166,                0.51045,                 1.1084,                 0.9041,                0.89354,                0.92382,                0.68275,                0.94177,                0.46602,                 1.2314,               0.004753,               0.004753,               0.004753
                     55,                0.79056,                0.50794,                 1.1075,                0.90463,                0.89363,                0.92525,                0.68429,                0.94153,                0.46681,                 1.2322,               0.004654,               0.004654,               0.004654
                     56,                0.78758,                0.50197,                 1.0992,                0.90557,                0.89356,                 0.9255,                0.68468,                0.94101,                0.46687,                 1.2308,               0.004555,               0.004555,               0.004555
                     57,                0.77783,                0.50158,                 1.0975,                0.90646,                0.89074,                0.92544,                0.68465,                0.94088,                0.46746,                 1.2324,               0.004456,               0.004456,               0.004456
                     58,                0.76929,                0.49208,                 1.0931,                0.90542,                0.89244,                0.92607,                0.68562,                0.93987,                0.46807,                 1.2328,               0.004357,               0.004357,               0.004357
                     59,                0.76917,                0.48957,                 1.0932,                0.90498,                0.89326,                0.92566,                0.68666,                0.93895,                0.46774,                 1.2334,               0.004258,               0.004258,               0.004258
                     60,                0.76026,                 0.4832,                 1.0848,                 0.9023,                0.89647,                0.92586,                0.68685,                0.93726,                0.46457,                 1.2318,               0.004159,               0.004159,               0.004159
                     61,                0.75584,                0.48515,                 1.0892,                0.90607,                0.89426,                0.92639,                0.68704,                0.93843,                0.46467,                 1.2346,                0.00406,                0.00406,                0.00406
                     62,                0.74817,                0.47469,                  1.079,                0.90853,                0.89665,                0.92665,                0.68613,                0.93849,                0.46602,                 1.2362,               0.003961,               0.003961,               0.003961
                     63,                0.74477,                0.47271,                 1.0801,                0.90976,                0.89679,                 0.9273,                0.68731,                0.93951,                0.46504,                 1.2395,               0.003862,               0.003862,               0.003862
                     64,                0.73294,                0.46424,                 1.0721,                0.90806,                0.89808,                0.92837,                0.68756,                0.94011,                0.46453,                 1.2406,               0.003763,               0.003763,               0.003763
                     65,                0.73528,                0.46715,                 1.0722,                0.90403,                    0.9,                0.92854,                0.68704,                0.94019,                0.46483,                 1.2422,               0.003664,               0.003664,               0.003664
                     66,                0.72832,                0.46276,                  1.071,                0.90424,                0.89913,                0.92824,                 0.6876,                0.94102,                0.46472,                 1.2444,               0.003565,               0.003565,               0.003565
                     67,                0.72041,                0.45638,                 1.0665,                0.90675,                 0.8999,                0.92859,                0.68712,                0.94179,                0.46408,                 1.2457,               0.003466,               0.003466,               0.003466
                     68,                0.71955,                0.45323,                 1.0603,                0.90711,                0.89953,                0.92875,                 0.6876,                0.94197,                0.46559,                 1.2462,               0.003367,               0.003367,               0.003367
                     69,                0.71237,                0.45126,                 1.0586,                0.90923,                0.89865,                0.92838,                0.68689,                0.94363,                0.46615,                 1.2498,               0.003268,               0.003268,               0.003268
                     70,                0.70305,                0.44633,                 1.0575,                0.91114,                0.89611,                0.92792,                0.68678,                0.94451,                0.46833,                 1.2513,               0.003169,               0.003169,               0.003169
                     71,                0.69277,                0.44011,                 1.0485,                0.91073,                0.89446,                0.92762,                0.68634,                0.94489,                0.47038,                  1.252,                0.00307,                0.00307,                0.00307
                     72,                0.69284,                0.43604,                 1.0512,                0.91224,                0.89504,                0.92799,                0.68594,                0.94544,                0.47132,                 1.2534,               0.002971,               0.002971,               0.002971
                     73,                0.68642,                0.43367,                 1.0505,                 0.9121,                0.89353,                0.92774,                0.68563,                0.94531,                0.47123,                 1.2534,               0.002872,               0.002872,               0.002872
                     74,                0.68133,                0.42941,                 1.0433,                0.91114,                0.89268,                0.92692,                0.68554,                0.94542,                0.47256,                 1.2541,               0.002773,               0.002773,               0.002773
                     75,                0.67383,                0.43049,                 1.0432,                0.91066,                0.89322,                0.92712,                0.68522,                0.94488,                0.47313,                 1.2551,               0.002674,               0.002674,               0.002674
                     76,                0.67416,                0.41903,                 1.0351,                0.91142,                0.89143,                0.92707,                0.68584,                0.94484,                0.47275,                 1.2556,               0.002575,               0.002575,               0.002575
                     77,                0.66265,                0.41707,                 1.0313,                0.91043,                0.89188,                0.92762,                 0.6853,                0.94409,                0.47297,                 1.2548,               0.002476,               0.002476,               0.002476
                     78,                0.65823,                0.41367,                 1.0314,                0.91266,                0.89192,                0.92797,                 0.6853,                0.94402,                0.47281,                 1.2549,               0.002377,               0.002377,               0.002377
                     79,                0.65419,                0.41116,                 1.0229,                0.91139,                 0.8919,                0.92742,                0.68555,                0.94419,                0.47273,                 1.2553,               0.002278,               0.002278,               0.002278
                     80,                0.64848,                0.40789,                 1.0265,                0.91262,                0.89155,                0.92757,                0.68578,                0.94387,                0.47333,                 1.2551,               0.002179,               0.002179,               0.002179
                     81,                0.64003,                0.39783,                 1.0179,                0.91307,                0.89231,                0.92804,                 0.6861,                 0.9438,                0.47305,                 1.2553,                0.00208,                0.00208,                0.00208
                     82,                 0.6348,                0.39292,                 1.0156,                0.91094,                0.89222,                0.92753,                0.68577,                0.94403,                0.47287,                  1.256,               0.001981,               0.001981,               0.001981
                     83,                0.63165,                0.39487,                 1.0171,                0.91114,                0.89287,                0.92826,                0.68617,                0.94324,                0.47286,                 1.2558,               0.001882,               0.001882,               0.001882
                     84,                0.62523,                0.39064,                 1.0127,                0.90663,                0.89578,                0.92735,                0.68588,                0.94347,                0.47245,                 1.2564,               0.001783,               0.001783,               0.001783
                     85,                0.61765,                0.38604,                 1.0076,                0.90646,                0.89864,                0.92717,                 0.6858,                0.94399,                0.47207,                 1.2573,               0.001684,               0.001684,               0.001684
                     86,                0.60845,                0.37951,                 1.0057,                 0.9057,                0.89758,                0.92729,                0.68592,                0.94454,                0.47284,                 1.2583,               0.001585,               0.001585,               0.001585
                     87,                0.60962,                0.38382,                 1.0093,                 0.9065,                0.89727,                0.92746,                0.68544,                0.94484,                0.47362,                  1.259,               0.001486,               0.001486,               0.001486
                     88,                0.60238,                0.37571,                 1.0034,                 0.9096,                0.89583,                0.92714,                0.68544,                0.94457,                0.47375,                 1.2594,               0.001387,               0.001387,               0.001387
